股票代码,名称,流通市值,市值分位
601696,中银证券,327.8,2
603699,纽威股份,354.81,2
688391,钜泉科技,39.64,1
893,亚钾国际,321.88,2
600570,恒生电子,403.73,2
300447,全信股份,28.4,1
300049,福瑞医科,101.03,2
603225,新凤鸣,293.66,2
300506,名家汇,48.27,1
2588,史丹利,69.89,1
688199,久日新材,46.87,1
600210,紫江企业,94.04,2
37,深南电A,28.47,1
600872,XD中炬高,137.24,2
301059,金三江,25.82,1
301555,惠柏新材,18.24,1
600604,市北高新,59.11,1
1393,维通利,23.02,1
300629,新劲刚,41.99,1
301295,美硕科技,14.67,1
2947,恒铭达,140.18,2
600933,爱柯迪,135.97,2
301175,中科环保,30.78,1
601619,嘉泽新能,102.5,2
600623,华谊集团,153.83,2
603151,邦基科技,20.38,1
600702,舍得酒业,114.82,2
688522,纳睿雷达,37.62,1
600339,中油工程,176.99,2
688349,三一重能,224.43,2
